date,value
2024-01-01,50.08
2024-01-02,51.23
2024-01-03,50.29
2024-01-04,48.08
2024-01-05,56.18
2024-01-06,49.4
2024-01-07,55.4
2024-01-08,46.96
2024-01-09,52.52
2024-01-10,52.32
2024-01-11,56.99
2024-01-12,54.02
2024-01-13,52.17
2024-01-14,55.94
2024-01-15,54.1
2024-01-16,57.54
2024-01-17,53.68
2024-01-18,54.5
2024-01-19,54.23
2024-01-20,52.41
2024-01-21,56.54
2024-01-22,56.35
2024-01-23,56.88
2024-01-24,54.6
2024-01-25,57.42
2024-01-26,57.7
2024-01-27,55.51
2024-01-28,54.03
2024-01-29,55.41
2024-01-30,52.79
2024-01-31,52.89
2024-02-01,57.31
2024-02-02,52.42
2024-02-03,52.15
2024-02-04,56.71
2024-02-05,55.97
2024-02-06,51.9
2024-02-07,57.41
2024-02-08,55.64
2024-02-09,57.92
2024-02-10,54.91
2024-02-11,56.1
2024-02-12,52.11
2024-02-13,54.21
2024-02-14,57.25
2024-02-15,53.02
2024-02-16,56.4
2024-02-17,55.52
2024-02-18,52.62
2024-02-19,58.0
2024-02-20,55.25
2024-02-21,55.24
2024-02-22,55.31
2024-02-23,49.4
2024-02-24,53.48
2024-02-25,54.68
2024-02-26,52.7
2024-02-27,54.41
2024-02-28,52.56
2024-02-29,52.87
2024-03-01,52.78
2024-03-02,52.1
2024-03-03,50.32
2024-03-04,53.64
2024-03-05,51.36
2024-03-06,50.84
2024-03-07,50.61
2024-03-08,49.23
2024-03-09,47.25
2024-03-10,46.63
2024-03-11,49.25
2024-03-12,47.5
2024-03-13,50.2
2024-03-14,50.08
2024-03-15,51.01
2024-03-16,48.53
2024-03-17,48.45
2024-03-18,49.31
2024-03-19,42.96
2024-03-20,44.84
2024-03-21,48.76
2024-03-22,48.51
2024-03-23,42.49
2024-03-24,47.8
2024-03-25,46.8
2024-03-26,46.84
2024-03-27,48.2
2024-03-28,47.37
2024-03-29,49.01
2024-03-30,46.37
2024-03-31,46.04
2024-04-01,47.17
2024-04-02,47.85
2024-04-03,45.82
2024-04-04,45.63
2024-04-05,47.53
2024-04-06,48.3
2024-04-07,48.65
2024-04-08,47.48
2024-04-09,48.48
2024-04-10,51.12
2024-04-11,48.19
2024-04-12,49.64
2024-04-13,48.32
2024-04-14,48.49
2024-04-15,48.42
2024-04-16,49.63
2024-04-17,49.49
2024-04-18,50.02
2024-04-19,50.19
2024-04-20,49.51
2024-04-21,49.5
2024-04-22,48.86
2024-04-23,49.24
2024-04-24,53.54
2024-04-25,53.14
2024-04-26,48.7
2024-04-27,53.69
2024-04-28,52.78
2024-04-29,51.87
2024-04-30,50.67
2024-05-01,57.32
2024-05-02,50.79
2024-05-03,52.12
2024-05-04,53.82
2024-05-05,50.53
2024-05-06,52.13
2024-05-07,56.97
2024-05-08,54.63
2024-05-09,59.03
2024-05-10,56.53
2024-05-11,54.58
2024-05-12,58.17
2024-05-13,57.07
2024-05-14,57.41
2024-05-15,55.56
2024-05-16,55.6
2024-05-17,58.07
2024-05-18,57.23
2024-05-19,59.11
2024-05-20,55.95
2024-05-21,57.03
2024-05-22,55.9
2024-05-23,57.34
2024-05-24,56.74
2024-05-25,56.87
2024-05-26,59.99
2024-05-27,59.49
2024-05-28,59.57
2024-05-29,62.62
